1,2010,75518,1568111,57448016
2,2010,16462,254734,12821494
4,2010,102175,2065224,84030312
5,2010,51072,965474,33735110
6,2010,690454,12536402,635620368
8,2010,125820,1955336,89244945
9,2010,72747,1436992,79918588
10,2010,19679,359007,17166760
11,2010,16913,463076,30987176
12,2010,400840,6626558,252973227
13,2010,170245,3315274,137538790
15,2010,25383,478838,17541821
16,2010,36660,487875,16235999
17,2010,253612,4980011,235718368
18,2010,110961,2400382,90398935
19,2010,63402,1253095,44904616
20,2010,59170,1127160,42686303
21,2010,69572,1456790,52246863
22,2010,81299,1599551,62265835
23,2010,33773,480932,17278644
24,2010,108246,2075507,97807214
25,2010,137406,2928545,158404256
26,2010,174345,3288456,138809653
27,2010,117687,2357971,105548294
28,2010,45813,882181,28606573
29,2010,117832,2292551,88576663
30,2010,31358,338405,10716100
31,2010,41974,769436,28033406
32,2010,47352,1002956,37909682
33,2010,31025,562505,24223645
34,2010,193722,3367169,178657361
35,2010,35655,600165,21318930
36,2010,444895,7266189,418437922
37,2010,168938,3234595,125174128
38,2010,18169,294907,10543129
39,2010,190184,4352481,174515811
40,2010,71972,1241168,46094301
41,2010,87996,1351164,54367614
42,2010,231192,4976193,211638083
44,2010,24556,399000,16831981
45,2010,78883,1502853,52547532
46,2010,21637,329163,10843236
47,2010,97976,2264032,87535962
48,2010,394392,8785238,386653791
49,2010,57664,1021143,38022357
50,2010,18596,264099,9307917
51,2010,149271,2998278,139058799
53,2010,144377,2326731,111398501
54,2010,29609,560450,19323797
55,2010,110435,2320696,90916263
56,2010,17585,205046,8398298
1,2011,74131,1573138,59241365
2,2011,16458,254996,13394017
4,2011,100672,2108561,86533273
5,2011,50426,980644,35312365
6,2011,689568,12698427,663570657
8,2011,124709,1972271,92655142
9,2011,71605,1442620,82130924
10,2011,19472,359602,17553103
11,2011,16968,477623,32872009
12,2011,400058,6732639,265463630
13,2011,167589,3328033,141481314
15,2011,24934,485548,18362124
16,2011,35690,482722,16889380
17,2011,251850,5038462,245055769
18,2011,109226,2440507,94650570
19,2011,62669,1263665,46556111
20,2011,58114,1113423,43733944
21,2011,68417,1463173,54351979
22,2011,80612,1617229,65771545
23,2011,33325,479728,17764334
24,2011,106613,2104022,101300769
25,2011,136512,2960712,165193320
26,2011,172115,3379035,145830792
27,2011,116697,2393746,110750868
28,2011,44969,887772,29585310
29,2011,114817,2298295,92601836
30,2011,31033,336110,11291642
31,2011,41569,797681,29969153
32,2011,46923,1000610,38743505
33,2011,30554,554001,24369871
34,2011,191736,3377848,183507386
35,2011,35124,597568,22037682
36,2011,446405,7369731,435008622
37,2011,165895,3284592,131631342
38,2011,18612,306064,12281089
39,2011,187655,4432849,182110083
40,2011,71397,1261590,49373824
41,2011,87018,1341841,56092081
42,2011,229048,5078111,222252066
44,2011,24203,406222,17274591
45,2011,77203,1521123,54433127
46,2011,21442,326749,11188600
47,2011,96143,2300542,91783286
48,2011,395817,8987663,414113062
49,2011,57455,1029103,39922601
50,2011,18361,264208,9589916
51,2011,146922,3029030,145346258
53,2011,142185,2355123,118647827
54,2011,28977,568344,20681836
55,2011,108918,2354284,95532272
56,2011,17604,208385,9109733
1,2012,73661,1585761,61284931
2,2012,16656,258219,13986403
4,2012,101205,2134252,90838616
5,2012,50412,978519,35633588
6,2012,701899,12952818,700102379
8,2012,126478,2035803,97691175
9,2012,71584,1463732,84561759
10,2012,19111,363688,18315395
11,2012,17123,482838,33863527
12,2012,409368,6932382,280304784
13,2012,168614,3390540,149290810
15,2012,24923,492089,19078553
16,2012,35966,493786,17605429
17,2012,253146,5119826,255694139
18,2012,109104,2512908,99677281
19,2012,62724,1293694,48946464
20,2012,58159,1134216,45608072
21,2012,67898,1481323,56039216
22,2012,80893,1644282,68864331
23,2012,33078,486838,18486234
24,2012,107324,2152458,105889051
25,2012,138385,3035897,173247358
26,2012,172118,3468089,152248431
27,2012,117124,2480643,116324440
28,2012,44734,895804,30897159
29,2012,113678,2320239,95330830
30,2012,31370,343842,11885907
31,2012,42029,818289,31736125
32,2012,47408,1014570,40126669
33,2012,30522,548985,24055321
34,2012,192704,3440470,189910527
35,2012,35019,602715,22380464
36,2012,450189,7556521,451846838
37,2012,167077,3352151,137928718
38,2012,19520,331278,14705136
39,2012,186870,4548143,191069504
40,2012,72041,1305183,53518174
41,2012,87717,1363523,58477866
42,2012,229428,5169196,231749663
44,2012,24022,402977,17286685
45,2012,77617,1548516,56665721
46,2012,21522,336526,11768782
47,2012,96348,2344047,96087992
48,2012,404116,9350829,446679425
49,2012,58560,1070986,43317548
50,2012,18216,265460,9540625
51,2012,147929,3089241,150556416
53,2012,143147,2361697,122692282
54,2012,28613,579583,21204523
55,2012,108389,2388855,99665591
56,2012,17804,214241,9589138
