1,2010,365692,765260,2994592,660278,4785822
2,2010,64583,123311,470475,55487,713856
3,2010,546166,1082425,3893590,889818,6411999
4,2010,236971,474982,1788790,421554,2922297
5,2010,3039295,6244871,23775045,4276800,37336011
6,2010,413686,812918,3267510,554461,5048575
7,2010,244194,570081,2256827,508243,3579345
8,2010,67157,138337,564146,130091,899731
9,2010,38928,62412,434800,69070,605210
10,2010,1289868,2710494,11572009,3279849,18852220
11,2010,824668,1666359,6182522,1040915,9714464
12,2010,104612,199217,863525,196596,1363950
13,2010,145763,283198,945502,196176,1570639
14,2010,1003999,2118256,8102302,1615540,12840097
15,2010,520912,1085031,4040210,844155,6490308
16,2010,242122,485603,1869119,453451,3050295
17,2010,246560,481164,1754019,377206,2858949
18,2010,339168,684563,2745390,580717,4349838
19,2010,376307,742311,2866545,560418,4545581
20,2010,83617,189435,842268,212041,1327361
21,2010,437925,914171,3724136,711869,5788101
22,2010,441950,974282,4241463,906378,6564073
23,2010,717027,1616131,6176917,1366423,9876498
24,2010,426636,856141,3341335,686306,5310418
25,2010,251988,502127,1834921,381775,2970811
26,2010,468016,956029,3730915,841125,5996085
27,2010,74632,148662,619826,147455,990575
28,2010,158127,301505,1123048,247185,1829865
29,2010,223234,440167,1712764,327328,2703493
30,2010,84182,201517,851374,179444,1316517
31,2010,652201,1410034,5550859,1190486,8803580
32,2010,174061,344701,1272084,274104,2064950
33,2010,1388745,2929970,12456243,2625909,19400867
34,2010,758265,1524045,6035383,1241795,9559488
35,2010,53185,96997,426615,97548,674345
36,2010,864402,1858192,7190784,1626692,11540070
37,2010,317154,614363,2319223,508741,3759481
38,2010,284087,581038,2434631,537327,3837083
39,2010,876769,1908824,7962492,1962992,12711077
40,2010,69128,154004,677515,152431,1053078
41,2010,361446,718563,2919374,636907,4636290
42,2010,71425,131715,496227,116825,816192
43,2010,489200,1005890,4003051,858487,6356628
44,2010,2320224,4558672,15745091,2621730,25245717
46,2010,314962,558041,1650119,251224,2774346
47,2010,38498,90110,405578,91606,625792
48,2010,613017,1242094,5186888,983377,8025376
49,2010,526678,1054706,4325600,834927,6741911
50,2010,124970,262265,1169036,297905,1854176
51,2010,429959,906143,3573582,779584,5689268
52,2010,47844,87509,358403,70602,564358
1,2011,364908,760816,3003541,672430,4801695
2,2011,65715,122724,475510,58623,722572
3,2011,536875,1079433,3936713,919846,6472867
4,2011,236172,474350,1800166,427742,2938430
5,2011,3047286,6204469,24044616,4405530,37701901
6,2011,411695,818834,3312559,576573,5119661
7,2011,240268,565038,2270207,515024,3590537
8,2011,67220,137614,569450,133545,907829
9,2011,42152,61886,446488,69901,620427
10,2011,1295039,2711050,11742233,3359578,19107900
11,2011,821520,1668012,6248313,1075356,9813201
12,2011,106749,198882,870123,202497,1378251
13,2011,143491,284939,953320,202030,1583780
14,2011,992651,2097325,8129659,1639090,12858725
15,2011,517115,1081178,4061436,856831,6516560
16,2011,240262,485353,1882259,457030,3064904
17,2011,245476,481304,1761785,381400,2869965
18,2011,337994,684066,2757870,590108,4370038
19,2011,377134,739576,2887730,571532,4575972
20,2011,81843,186990,843171,215926,1327930
21,2011,441238,908503,3764262,729830,5843833
22,2011,441225,967581,4282068,921396,6612270
23,2011,707865,1591564,6188619,1387688,9875736
24,2011,424841,855492,3366856,700847,5348036
25,2011,249575,498254,1841990,388645,2978464
26,2011,464381,950209,3744065,851889,6010544
27,2011,74456,148509,623662,151034,997661
28,2011,157917,303048,1131848,249419,1842232
29,2011,220585,438349,1720170,339482,2718586
30,2011,82615,197981,853559,183954,1318109
31,2011,650351,1399621,5584246,1208396,8842614
32,2011,173312,343213,1280123,281759,2078407
33,2011,1398745,2899563,12553982,2669455,19521745
34,2011,755499,1528470,6088300,1279233,9651502
35,2011,54491,97953,434054,98744,685242
36,2011,855231,1838489,7207001,1644036,11544757
37,2011,318190,617652,2334826,515859,3786527
38,2011,282896,579413,2453355,551980,3867644
39,2011,873695,1888680,8003763,1977857,12743995
40,2011,68081,151902,678706,153331,1052020
41,2011,359780,716850,2939229,657195,4673054
42,2011,71843,132231,501624,118473,824171
43,2011,486665,1005051,4029295,877378,6398389
44,2011,2332259,4600073,16019483,2705662,25657477
46,2011,313149,568226,1675148,258801,2815324
47,2011,37958,88644,405818,94030,626450
48,2011,615609,1242914,5240235,1011430,8110188
49,2011,531735,1052660,4376529,861188,6822112
50,2011,124445,260880,1168958,300699,1854982
51,2011,426039,899806,3588759,794181,5708785
52,2011,47435,87968,360063,72165,567631
1,2012,362338,754839,3000870,699437,4817484
