1,2010,40933,16.3
2,2010,57847,12.1
4,2010,46895,18
5,2010,38586,17
6,2010,54282,16.6
8,2010,60232,12.7
9,2010,65998,9.3
10,2010,55214,12.9
11,2010,56927,19.7
12,2010,44066,15.4
13,2010,44117,18.6
15,2010,59539,12.2
16,2010,47050,14.8
17,2010,50727,14.1
18,2010,46139,15.9
19,2010,49016,10.4
20,2010,46053,14.4
21,2010,41104,16.8
22,2010,39300,21.3
23,2010,47930,13
24,2010,64200,10.1
25,2010,60933,10.7
26,2010,46276,15.3
27,2010,52321,10.4
28,2010,38159,20
29,2010,45816,15.2
30,2010,41279,15.5
31,2010,52503,10.2
32,2010,51199,16
33,2010,66632,7.1
34,2010,62968,11.2
35,2010,45134,20.2
36,2010,49781,16
37,2010,43830,16.4
38,2010,51005,11.3
39,2010,45885,15.2
40,2010,43103,15.1
41,2010,50601,14.3
42,2010,48314,12.4
44,2010,51623,13.7
45,2010,41698,18
46,2010,45352,14.1
47,2010,38591,16.5
48,2010,47265,17.9
49,2010,56700,10.5
50,2010,55927,11.2
51,2010,60367,11
53,2010,56162,12.1
54,2010,42777,17.2
55,2010,50351,11.6
56,2010,52200,10.1
1,2011,42590,16.3
2,2011,57431,12.1
4,2011,48621,18
5,2011,41302,17
6,2011,53367,16.6
8,2011,58629,12.7
9,2011,65415,9.3
10,2011,54660,12.9
11,2011,55251,19.7
12,2011,45105,15.4
13,2011,45973,18.6
15,2011,59047,12.2
16,2011,47459,14.8
17,2011,50637,14.1
18,2011,44445,15.9
19,2011,50219,10.4
20,2011,46147,14.4
21,2011,39856,16.8
22,2011,40658,21.3
23,2011,49693,13
24,2011,68876,10.1
25,2011,63313,10.7
26,2011,48879,15.3
27,2011,57820,10.4
28,2011,41090,20
29,2011,45774,15.2
30,2011,40277,15.5
31,2011,55616,10.2
32,2011,47043,16
33,2011,65880,7.1
34,2011,62338,11.2
35,2011,41982,20.2
36,2011,50636,16
37,2011,45206,16.4
38,2011,56361,11.3
39,2011,44648,15.2
40,2011,48455,15.1
41,2011,51526,14.3
42,2011,49910,12.4
44,2011,49033,13.7
45,2011,40084,18
46,2011,47223,14.1
47,2011,42279,16.5
48,2011,49047,17.9
49,2011,55493,10.5
50,2011,51862,11.2
51,2011,62616,11
53,2011,56850,12.1
54,2011,41821,17.2
55,2011,52058,11.6
56,2011,54509,10.1
1,2012,43464,16.1
2,2012,63648,10.9
4,2012,47044,18.8
5,2012,39018,18.7
6,2012,57020,15.9
8,2012,57255,11.9
9,2012,64247,10.6
10,2012,48972,13.7
11,2012,65246,19.9
12,2012,46071,15
13,2012,48121,17.6
15,2012,56263,12.3
16,2012,47922,14.4
17,2012,51738,13.4
18,2012,46158,14.1
19,2012,53442,10.5
20,2012,50003,13.8
21,2012,41086,18
22,2012,39085,20.5
23,2012,49158,12.8
24,2012,71836,9.8
25,2012,63656,11.3
26,2012,50015,14.4
27,2012,61795,10.7
28,2012,36641,20.6
29,2012,49764,14.8
30,2012,45088,14.8
31,2012,52196,11.2
32,2012,47333,16.2
33,2012,67819,8.3
34,2012,66692,10.6
35,2012,43424,21.4
36,2012,47680,15.9
37,2012,41553,17
38,2012,55766,10.4
39,2012,44375,14.7
